date,nearby_1st
2025-02-16,"['847376', '847378']"
2025-02-01,"['558699', '558701']"
2025-01-17,"['807778', '807780']"
2025-01-02,"['730208', '730210']"
2024-12-16,"['097862', '097864']"
2024-12-01,"['669842', '669844']"
2024-11-16,"['187220', '187222']"
2024-11-01,"['536043', '536045']"
2024-10-16,"['482961', '482963']"
2024-10-01,"['718664', '718666']"
2024-09-16,"['608661', '608663']"
2024-09-01,"['199605', '199607']"
2024-08-16,"['095866', '095868']"
2024-08-01,"['407040', '407042']"
2024-07-16,"['367335', '367337']"
2024-07-01,"['434502', '434504']"
2024-06-16,"['518503', '518505']"
2024-06-01,"['530592', '530594']"
2024-05-16,"['205689', '205691']"
2024-05-02,"['980115', '980117']"
2024-04-16,"['943597', '943599']"
2024-04-01,"['803480', '803482']"
2024-03-16,"['997625', '997627']"
2024-03-01,"['253602', '253604']"
2024-02-16,"['941394', '941396']"
2024-02-01,"['607062', '607064']"
2024-01-17,"['105978', '105980']"
2023-12-30,"['625543', '625545']"
2023-12-16,"['356756', '356758']"
2023-12-01,"['251096', '251098']"
2023-11-16,"['557989', '557991']"
2023-11-01,"['743950', '743952']"
2023-10-16,"['931445', '931447']"
2023-10-01,"['727201', '727203']"
2023-09-16,"['320811', '320813']"
2023-09-01,"['915477', '915479']"
2023-08-16,"['471781', '471783']"
2023-07-31,"['260452', '260454']"
2023-07-16,"['169529', '169531']"
2023-07-01,"['922604', '922606']"
2023-06-16,"['264871', '264873']"
2023-06-01,"['125271', '125273']"
2023-05-16,"['132902', '132904']"
2023-05-02,"['843018', '843020']"
2023-04-16,"['984905', '984907']"
2023-04-01,"['087906', '087908']"
2023-03-16,"['025872', '025874']"
2023-03-01,"['417651', '417653']"
2023-02-16,"['590416', '590418']"
2023-02-01,"['297410', '297412']"
2023-01-17,"['812518', '812520']"
2022-12-30,"['157195', '157197']"
2022-12-16,"['845092', '845094']"
2022-12-01,"['375804', '375806']"
2022-11-16,"['121788', '121790']"
2022-11-01,"['913105', '913107']"
2022-10-16,"['613105', '613107']"
2022-10-01,"['484668', '484670']"
2022-09-16,"['943702', '943704']"
2022-09-01,"['929331', '929333']"
2022-08-16,"['331582', '331584']"
2022-08-01,"['436593', '436595']"
2022-07-16,"['620404', '620406']"
2022-07-01,"['981416', '981418']"
2022-06-16,"['361806', '361808']"
2022-06-01,"['319195', '319197']"
2022-05-16,"['155011', '155013']"
2022-05-02,"['658641', '658643']"
2022-04-16,"['395918', '395920']"
2022-04-01,"['970617', '970619']"
2022-03-16,"['737866', '737868']"
2022-03-01,"['061904', '061906']"
2022-02-17,"['098596', '098598']"
2022-02-01,"['944307', '944309']"
2022-01-17,"['880158', '880160']"
2021-12-30,"['819067', '819069']"
2021-12-16,"['639234', '639236']"
2021-12-01,"['077257', '077259']"
2021-11-16,"['032760', '032762']"
2021-11-01,"['045036', '045038']"
2021-10-16,"['386371', '386373']"
2021-10-01,"['578170', '578172']"
2021-09-16,"['070934', '070936']"
2021-09-01,"['114474', '114476']"
2021-08-16,"['046751', '046749']"
2021-08-01,"['910260', '910262']"
2021-07-16,"['556724', '556726']"
2021-07-01,"['713516', '713518']"
2021-06-16,"['691860', '691862']"
2021-06-01,"['292971', '292973']"
2021-05-16,"['684578', '684580']"
2021-05-02,"['501271', '501273']"
2021-04-16,"['100786', '100788']"
2021-04-01,"['472269', '472271']"
2021-03-16,"['890421', '890423']"
2021-03-01,"['835537', '835539']"
2021-02-16,"['424602', '424604']"
2021-02-01,"['912306', '912308']"
2021-01-17,"['384394', '384396']"
2020-12-30,"['803627', '803629']"
2020-12-16,"['201302', '201304']"
2020-12-01,"['100993', '100995']"
2020-11-16,"['972660', '972662']"
2020-11-01,"['506403', '506405']"
2020-10-16,"['286050', '286052']"
2020-10-01,"['837892', '837894']"
2020-09-16,"['244082', '244084']"
2020-09-01,"['999996', '999998']"
2020-08-16,"['945810', '945812']"
2020-08-01,"['569390', '569392']"
2020-07-16,"['873285', '873287']"
2020-07-01,"['347257', '347259']"
2020-06-16,"['516966', '516968']"
2020-06-01,"['831566', '831568']"
2020-05-16,"['051094', '051096']"
2020-04-01,"['051094', '051096']"
2020-03-16,"['503445', '503447']"
2020-03-01,"['875937', '875939']"
2020-02-16,"['781402', '781404']"
2020-02-01,"['589226', '589228']"
2020-01-17,"['491773', '491775']"
2019-12-30,"['510540', '510542']"
2019-12-16,"['529923', '529925']"
2019-12-01,"['453521', '453523']"
2019-11-16,"['017222', '017224']"
2019-11-01,"['967374', '967376']"
2019-10-16,"['812563', '812565']"
2019-10-01,"['691196', '691198']"
2019-09-16,"['340387', '340389']"
2019-09-01,"['798786', '798788']"
2019-08-16,"['775475', '775477']"
2019-08-01,"['387005', '387007']"
2019-07-15,"['369764', '369766']"
2019-07-01,"['943646', '943648']"
2019-06-16,"['174054', '174056']"
2019-06-01,"['516460', '516462']"
2019-05-16,"['962525', '962527']"
2019-05-02,"['061323', '061325']"
2019-04-16,"['570330', '570332']"
2019-04-01,"['109766', '109768']"
2019-03-16,"['724627', '724629']"
2019-03-01,"['345649', '345651']"
2019-02-16,"['074823', '074825']"
2019-02-01,"['967133', '967135']"
2019-01-17,"['197078', '197080']"
2018-12-30,"['735866', '735868']"
2018-12-16,"['356563', '356565']"
2018-12-01,"['021839', '021841']"
2018-11-16,"['989902', '989904']"
2018-11-01,"['149839', '149841']"
2018-10-16,"['200514', '200516']"
2018-10-01,"['452642', '452644']"
2018-09-16,"['149759', '149761']"
2018-09-01,"['734509', '734511']"
2018-08-16,"['586116', '586118']"
2018-08-01,"['386601', '386603']"
2018-07-16,"['596323', '596325']"
2018-07-01,"['963622', '963624']"
2018-06-16,"['223130', '223132']"
2018-06-01,"['988116', '988118']"
2018-05-16,"['075628', '075630']"
2018-05-02,"['248037', '248039']"
2018-04-16,"['739228', '739230']"
2018-04-01,"['412072', '412074']"
2018-03-16,"['218558', '218560']"
2018-03-02,"['759414', '759416']"
2018-02-16,"['309914', '309916']"
2018-02-01,"['026852', '026854']"
2018-01-17,"['203822', '203824']"
2017-12-30,"['911233', '911235']"
2017-12-16,"['955595', '955597']"
2017-12-01,"['451004', '451006']"
2017-11-16,"['292390', '292392']"
