date,prize_1st
2025-02-16,['847377']
2025-02-01,['558700']
2025-01-17,['807779']
2025-01-02,['730209']
2024-12-16,['097863']
2024-12-01,['669843']
2024-11-16,['187221']
2024-11-01,['536044']
2024-10-16,['482962']
2024-10-01,['718665']
2024-09-16,['608662']
2024-09-01,['199606']
2024-08-16,['095867']
2024-08-01,['407041']
2024-07-16,['367336']
2024-07-01,['434503']
2024-06-16,['518504']
2024-06-01,['530593']
2024-05-16,['205690']
2024-05-02,['980116']
2024-04-16,['943598']
2024-04-01,['803481']
2024-03-16,['997626']
2024-03-01,['253603']
2024-02-16,['941395']
2024-02-01,['607063']
2024-01-17,['105979']
2023-12-30,['625544']
2023-12-16,['356757']
2023-12-01,['251097']
2023-11-16,['557990']
2023-11-01,['743951']
2023-10-16,['931446']
2023-10-01,['727202']
2023-09-16,['320812']
2023-09-01,['915478']
2023-08-16,['471782']
2023-07-31,['260453']
2023-07-16,['169530']
2023-07-01,['922605']
2023-06-16,['264872']
2023-06-01,['125272']
2023-05-16,['132903']
2023-05-02,['843019']
2023-04-16,['984906']
2023-04-01,['087907']
2023-03-16,['025873']
2023-03-01,['417652']
2023-02-16,['590417']
2023-02-01,['297411']
2023-01-17,['812519']
2022-12-30,['157196']
2022-12-16,['845093']
2022-12-01,['375805']
2022-11-16,['121789']
2022-11-01,['913106']
2022-10-16,['613106']
2022-10-01,['484669']
2022-09-16,['943703']
2022-09-01,['929332']
2022-08-16,['331583']
2022-08-01,['436594']
2022-07-16,['620405']
2022-07-01,['981417']
2022-06-16,['361807']
2022-06-01,['319196']
2022-05-16,['155012']
2022-05-02,['658642']
2022-04-16,['395919']
2022-04-01,['970618']
2022-03-16,['737867']
2022-03-01,['061905']
2022-02-17,['098597']
2022-02-01,['944308']
2022-01-17,['880159']
2021-12-30,['819068']
2021-12-16,['639235']
2021-12-01,['077258']
2021-11-16,['032761']
2021-11-01,['045037']
2021-10-16,['386372']
2021-10-01,['578171']
2021-09-16,['070935']
2021-09-01,['114475']
2021-08-16,['046750']
2021-08-01,['910261']
2021-07-16,['556725']
2021-07-01,['713517']
2021-06-16,['691861']
2021-06-01,['292972']
2021-05-16,['684579']
2021-05-02,['501272']
2021-04-16,['100787']
2021-04-01,['472270']
2021-03-16,['890422']
2021-03-01,['835538']
2021-02-16,['424603']
2021-02-01,['912307']
2021-01-17,['384395']
2020-12-30,['803628']
2020-12-16,['201303']
2020-12-01,['100994']
2020-11-16,['972661']
2020-11-01,['506404']
2020-10-16,['286051']
2020-10-01,['837893']
2020-09-16,['244083']
2020-09-01,['999997']
2020-08-16,['945811']
2020-08-01,['569391']
2020-07-16,['873286']
2020-07-01,['347258']
2020-06-16,['516967']
2020-06-01,['831567']
2020-05-16,['051095']
2020-04-01,['051095']
2020-03-16,['503446']
2020-03-01,['875938']
2020-02-16,['781403']
2020-02-01,['589227']
2020-01-17,['491774']
2019-12-30,['510541']
2019-12-16,['529924']
2019-12-01,['453522']
2019-11-16,['017223']
2019-11-01,['967375']
2019-10-16,['812564']
2019-10-01,['691197']
2019-09-16,['340388']
2019-09-01,['798787']
2019-08-16,['775476']
2019-08-01,['387006']
2019-07-15,['369765']
2019-07-01,['943647']
2019-06-16,['174055']
