date,prize_pre_3digit,prize_sub_3digits
2025-02-16,"['268', '613']","['652', '001', '50']"
2025-02-01,"['285', '418']","['685', '824', '51']"
2025-01-17,"['699', '961']","['448', '477', '23']"
2025-01-02,"['446', '065']","['376', '297', '51']"
2024-12-16,"['290', '742']","['339', '881', '21']"
2024-12-01,"['559', '626']","['098', '654', '61']"
2024-11-16,"['036', '923']","['980', '547', '38']"
2024-11-01,"['174', '225']","['063', '231', '32']"
2024-10-16,"['561', '648']","['493', '919', '00']"
2024-10-01,"['053', '812']","['079', '566', '59']"
2024-09-16,"['230', '904']","['008', '408', '37']"
2024-09-01,"['173', '220']","['094', '388', '94']"
2024-08-16,"['212', '334']","['697', '728', '28']"
2024-08-01,"['408', '579']","['622', '070', '46']"
2024-07-16,"['011', '331']","['421', '618', '21']"
2024-07-01,"['839', '975']","['647', '778', '89']"
2024-06-16,"['016', '428']","['426', '447', '31']"
2024-06-01,"['194', '364']","['421', '734', '42']"
2024-05-16,"['885', '747']","['137', '070', '60']"
2024-05-02,"['104', '763']","['634', '833', '17']"
2024-04-16,"['729', '727']","['154', '200', '79']"
2024-04-01,"['122', '809']","['559', '947', '90']"
2024-03-16,"['571', '509']","['794', '329', '78']"
2024-03-01,"['900', '975']","['382', '703', '79']"
2024-02-16,"['056', '330']","['587', '375', '43']"
2024-02-01,"['454', '943']","['544', '591', '09']"
2024-01-17,"['429', '931']","['196', '635', '61']"
2023-12-30,"['600', '648']","['882', '456', '89']"
2023-12-16,"['058', '410']","['584', '964', '85']"
2023-12-01,"['055', '265']","['092', '280', '91']"
2023-11-16,"['346', '412']","['778', '961', '14']"
2023-11-01,"['335', '913']","['019', '349', '63']"
2023-10-16,"['167', '398']","['272', '970', '44']"
2023-10-01,"['355', '324']","['426', '615', '66']"
2023-09-16,"['037', '699']","['057', '344', '46']"
2023-09-01,"['521', '596']","['692', '291', '91']"
2023-08-16,"['431', '739']","['737', '742', '67']"
2023-07-31,"['268', '708']","['387', '601', '11']"
2023-07-16,"['261', '384']","['066', '780', '62']"
2023-07-01,"['281', '867']","['491', '947', '16']"
2023-06-16,"['519', '628']","['202', '874', '30']"
2023-06-01,"['000', '681']","['386', '971', '09']"
2023-05-16,"['739', '678']","['693', '731', '99']"
2023-05-02,"['500', '780']","['269', '187', '65']"
2023-04-16,"['670', '678']","['797', '551', '71']"
2023-04-01,"['111', '914']","['290', '698', '99']"
2023-03-16,"['420', '800']","['355', '544', '73']"
2023-03-01,"['577', '919']","['748', '984', '55']"
2023-02-16,"['195', '664']","['377', '523', '80']"
2023-02-01,"['181', '789']","['101', '664', '92']"
2023-01-17,"['389', '443']","['564', '849', '47']"
2022-12-30,"['007', '522']","['250', '425', '58']"
2022-12-16,"['912', '411']","['855', '593', '14']"
2022-12-01,"['170', '786']","['409', '421', '08']"
2022-11-16,"['722', '532']","['157', '973', '64']"
2022-11-01,"['722', '839']","['343', '922', '70']"
2022-10-16,"['037', '158']","['606', '799', '15']"
2022-10-01,"['206', '996']","['194', '278', '50']"
2022-09-16,"['971', '540']","['631', '432', '75']"
2022-09-01,"['298', '725']","['210', '604', '83']"
2022-08-16,"['271', '300']","['284', '876', '42']"
2022-08-01,"['893', '266']","['447', '282', '14']"
2022-07-16,"['159', '834']","['061', '279', '53']"
2022-07-01,"['287', '242']","['002', '542', '61']"
2022-06-16,"['549', '285']","['228', '106', '92']"
2022-06-01,"['679', '817']","['213', '652', '02']"
2022-05-16,"['247', '736']","['236', '540', '06']"
2022-05-02,"['778', '518']","['041', '325', '09']"
2022-04-16,"['289', '859']","['413', '508', '58']"
2022-04-01,"['738', '391']","['578', '870', '10']"
2022-03-16,"['349', '985']","['989', '788', '03']"
2022-03-01,"['236', '834']","['234', '691', '07']"
2022-02-17,"['085', '644']","['592', '816', '57']"
2022-02-01,"['942', '061']","['509', '485', '30']"
2022-01-17,"['731', '786']","['119', '529', '92']"
2021-12-30,"['591', '979']","['419', '547', '36']"
2021-12-16,"['097', '629']","['476', '522', '83']"
2021-12-01,"['739', '740']","['401', '485', '82']"
2021-11-16,"['648', '471']","['844', '245', '57']"
2021-11-01,"['247', '458']","['331', '755', '95']"
2021-10-16,"['602', '964']","['295', '798', '38']"
